업체구분,업체명,지번 주소,도로명 주소,위도,경도,연락처
식음료,103번길,강원 양양군 현남면 시변리 9-2 d동,강원 양양군 현남면 인구중앙길 103,37.973863,128.758898,
식음료,1938슬로우,강원 강릉시 용강동 43-1,강원 강릉시 임영로141번길 4-6,37.75394842,128.8910696,033-646-4649
동물병원,24시보듬동물병원,강원 강릉시 임당동 134-6,강원 강릉시 경강로 2070,37.75320476,128.8940373,033-655-7975
숙박지,365행복펜션,,강원 정선군 북평면 장열길 83-2,37.456503,128.683384,0507-1423-1365
식음료,5구도선장,강원 속초시 중앙동 482-17,강원 속초시 중앙부두길 51,38.20282081,128.5921603,033-636-5950
식음료,Cafe COEL,,강원 속초시 장사항해안길 25,38.22392,128.589026,0507-1344-4321
관광지,DMZ박물관,강원 고성군 현내면 송현리 212,강원 고성군 현내면 통일전망대로 369,38.57624688,128.3825278,033-681-0625
숙박지,EST펜션,강원 속초시 영랑동 147-3,강원 속초시 영랑해안길 159,38.21650162,128.5953542,033-633-2345
숙박지,hj매그놀리아용평호텔앤리조트,,강원 평창군 대관령면 올림픽로 715,37.645742,128.680769,033-330-7511
식음료,J카페,강원 동해시 천곡동 522,강원 동해시 항골길 94,37.52579338,129.0975411,033-534-3934
식음료,mtd버거하우스,,강원 양양군 현북면 하조대2길 48-101,38.022806,128.720845,0507-1352-0895
식음료,Rest,강원 강릉시 선수촌로 79-21 1층,,37.757744,128.867759,033-643-9375
숙박지,SL호텔 강릉,강원 강릉시 주문진읍 교항리 190-4,강원 강릉시 주문진읍 주문로 59,37.88915566,128.8254149,033-920-1800
숙박지,가산농원캠핑장,강원 철원군 갈말읍 상사리 628-4,강원 철원군 갈말읍 상사로 377,38.22409963,127.2657242,033-452-9995
숙박지,가을동화펜션,강원 평창군 봉평면 흥정리 285-3,강원 평창군 봉평면 흥정계곡길 72,37.62729821,128.3519084,
관광지,간현관광지,강원 원주시 지정면 간현리 1056-24,강원 원주시 지정면 소금산길 12,37.36457641,127.834038,033-749-4860
식음료,갈매기다방,강원 강릉시 연곡면 영진리 357-87,강원 강릉시 연곡면 영진길 63,37.87031813,128.8429768,0507-1317-1874
식음료,감자밭,강원 춘천시 신북읍 천전리 99-13,강원 춘천시 신북읍 신샘밭로 674,37.92958863,127.784517,1566-3756
식음료,감자아일랜드 온의점,강원 춘천시 방송길 77 상가동 1층 1310호,,37.869295,127.721395,0507-1356-4681
숙박지,강릉 로뎀나무 펜션,,강원 강릉시 해안로 621번길 12,37.811725,128.897949,0505-356-9646
동물병원,강릉동물병원,강원 강릉시 옥천동 161-1,강원 강릉시 옥가로 18,37.75786009,128.8994287,0507-1315-7584
관광지,강릉안반데기관광농원,,강원 강릉시  왕산면 안반데기1길 203,37.608741,128.7401,033-644-8552
관광지,강릉커피거리,강원 강릉시 견소동 286,강원 강릉시 창해로14번길 20-1,37.77257827,128.9473353,033-640-4531
관광지,강릉항,강원 강릉시 견소동 286-5,강원 강릉시 창해로14번길 55-11,37.7713846,128.9517265,033-640-5420
관광지,강문솟대다리,강원 강릉시 강문동 248-4,,37.79777324,128.9167459,033-660-3864
관광지,강문해변,강원 강릉시 강문동 182-1,강원 강릉시 창해로350번길 7,37.79475498,128.9188935,033-660-3865
식음료,강산숯불닭갈비막국수,강원 춘천시 신북읍 천전리 672-1,강원 춘천시 신북읍 신샘밭로 621,37.9305137,127.7785203,033-242-9972
관광지,강아지숲 테마파크,강원 춘천시 남산면 광판리 1193,강원 춘천시 남산면 충효로 437,37.73643502,127.6620202,033-913-1400
동물병원,강원동물병원,강원 영월군 영월읍 영흥리 845-10,강원 영월군 영월읍 중앙로 75,37.18358081,128.4721439,033-373-0788
동물병원,강원동물병원,강원 원주시 평원로 67 (중앙동),,37.351566,127.950124,033-641-7584
숙박지,강이네하우스,강원 양양군 서면 상평리 437,강원 양양군 서면 상평1길 17-2,38.06692416,128.5833551,
숙박지,강촌잠빌펜션,강원 춘천시 남산면 방곡리 281-1,강원 춘천시 남산면 강촌로 250,37.79759514,127.6392088,
식음료,개고생,강원 원주시 단구동 1557-6,강원 원주시 천매봉길 20-9,37.32289779,127.9440499,
식음료,개버랜드,강원 강릉시 구정면 여찬리 649,강원 강릉시 구정면 구정중앙로 155-8,37.71421755,128.8737574,033-646-2375
식음료,개스토랑in위촌길299,강원 강릉시 성산면 위촌리 655-1,강원 강릉시 성산면 위촌길 299,37.7593839,128.8363287,070-7787-4733
식음료,거북이서프바,강원 양양군 현남면 남애리 180-13,강원 양양군 현남면 화상해안길 247,37.9342823,128.7889415,
관광지,경강 레일바이크,강원 춘천시 남산면 서천리 226-6,강원 춘천시 남산면 서백길 57,37.84274539,127.5509472,033-245-1002
숙박지,경포도도애견펜션,강원 강릉시 안현동 403-3,강릉시 하남길 197-15,37.80811754,128.8856929,
숙박지,경포코지펜션,강원 강릉시 난설헌로219번길 22,,37.794047,128.913339,0507-1497-7753
관광지,경포해변,강원 강릉시 안현동 산1-9,강원 강릉시 창해로 514,37.80567878,128.9074027,033-640-4531
동물병원,고려동물병원,강원 춘천시 퇴계동 140-23,강원 춘천시 안마산로 189,37.85107671,127.7353155,033-264-9975
식음료,고목,강원 춘천시 남산면 방하리 198,강원 춘천시 남산면 남이섬길 1,37.79012495,127.5261287,031-580-8053
관광지,고석정,강원 철원군 동송읍 장흥리 20-1,강원 철원군 동송읍 태봉로 1825,38.18542141,127.2874037,033-450-5559
식음료,고심쌀롱,강원 강릉시 사천면 사천진리 266-5,강원 강릉시 사천면 진리해변길 131,37.8424615,128.8737648,070-8800-4033
