ID,LCLAS_NM,MLSFC_NM,POI_ID,POI_NM,BHF_NM,ASSTN_NM,CL_CD,CL_NM,PNU,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,LEGALDONG_CD,ADSTRD_CD,RDNMADR_CD,RDNMADR_NM,BULD_NO,LC_LO,LC_LA,GID_CD,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
KCDPCPO23N000000001,장소,공원,139888,해상공원,,,50705,지역근린공원,4812110500104070008,경상남도,창원시 의창구,도계동,,407-8,4812110500,4812153000,481214781477,원이대로81번길,14,128.6374039,35.25602587,마라034962,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000000002,장소,공원,140540,신장어린이공원,,,50705,지역근린공원,1147010300104860000,서울특별시,양천구,신월동,,486,1147010300,1147057000,114704142310,오목로9길,20-1,126.8427594,37.52422994,다사419474,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000000003,장소,공원,141741,우신연립공원,,,50705,지역근린공원,4148010100107750001,경기도,파주시,금촌동,,775-1,4148010100,4148051000,414804418088,금정6길,10,126.7772822,37.75795683,다사363733,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000000004,장소,공원,142209,우장산공원,,,50705,지역근린공원,1150010600200040005,서울특별시,강서구,내발산동,,산4-5,1150010600,1150061500,115004145184,공항대로42길,51-22,126.8454875,37.55417543,다사421507,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000000005,장소,공원,143564,겸재공원,,,50705,지역근린공원,1126010100100700003,서울특별시,중랑구,면목동,,70-3,1126010100,1126056500,,,,127.0932316,37.58797091,다사640543,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000000006,장소,공원,143668,사근공원,,,50705,지역근린공원,1120010600102910010,서울특별시,성동구,사근동,,291-10,1120010600,1120055000,,,,127.0476509,37.56343701,다사600516,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000000007,장소,공원,146455,분토골공원,,,50705,지역근린공원,1165010800116270004,서울특별시,서초구,서초동,,1627-4,1165010800,1165051000,,,,127.0174063,37.48834836,다사573433,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000000008,장소,공원,146955,원내어린이공원,,,50706,어린이놀이터,3020010100102060005,대전광역시,유성구,원내동,,206-5,3020010100,3020052000,302004301412,진잠로102번길,50,127.3182726,36.3005318,다바836114,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000000009,장소,공원,147724,석천공원,,,50705,지역근린공원,4119010900104160000,경기도,부천시,상동,,416,4119010900,4119061000,411903184019,석천로,85-1,126.7604086,37.49570244,다사346443,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
KCDPCPO23N000000010,장소,공원,148447,용말어린이공원,,,50705,지역근린공원,1165010200102180003,서울특별시,서초구,양재동,,218-3,1165010200,1165065200,,,,127.0349002,37.46310998,다사588405,20231220,KT,KC_498_DMSTC_MCST_PBL_CT_PARK,20231220
